day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,condition_text
D1550,60,22.0,11.2,70,1021.0,0.0,88,50,24.5,10.0,1.0,25.9,1,6
D1553,60,23.0,24.1,90,1020.0,0.0,73,50,25.1,10.0,1.0,29.9,1,1
D1556,60,22.0,11.2,90,1019.0,0.01,88,50,24.5,10.0,1.0,27.4,1,6
D1557,60,23.0,19.1,110,1020.0,0.01,83,75,25.1,10.0,1.0,31.4,1,1
D1569,61,22.0,11.2,320,1020.0,0.0,69,0,24.6,10.0,1.0,7.6,2,0
D1572,61,24.0,15.1,340,1017.0,0.0,54,0,25.3,10.0,1.0,25.9,2,0
D1573,61,25.0,16.9,340,1017.0,0.0,54,0,26.1,10.0,1.0,22.0,2,0
D1576,61,24.0,6.8,60,1016.0,0.0,74,75,25.6,10.0,1.0,5.0,2,6
D1579,61,23.0,9.0,320,1016.0,0.0,69,0,25.0,10.0,1.0,14.4,1,0
D1584,61,21.0,24.1,80,1012.0,0.15,78,75,21.0,10.0,1.0,9.9,1,7
D1585,61,20.0,19.1,320,1006.0,0.14,88,75,20.0,10.0,1.0,8.6,1,7
D1587,62,26.0,11.2,260,1018.0,0.0,32,25,29.0,10.0,4.0,6.1,2,6
D1590,62,10.0,3.6,207,1017.0,0.0,82,50,8.2,10.0,6.0,14.8,1,6
D1595,62,20.0,3.6,191,1015.0,0.0,32,0,20.0,10.0,7.0,25.2,2,0
D1596,62,12.0,22.0,270,1006.0,0.0,94,75,10.1,10.0,3.0,20.2,1,5
D1598,62,7.0,19.1,80,1012.0,0.0,81,0,5.2,10.0,1.0,10.8,1,0
D1599,62,9.0,11.2,340,1013.0,0.1,87,75,6.1,10.0,1.0,23.0,1,6
D1612,62,12.0,25.9,140,1015.0,0.04,41,75,11.0,10.0,1.0,11.6,1,6
D1621,63,25.0,20.2,10,1015.0,0.0,39,0,26.1,10.0,1.0,37.1,1,0
D1625,63,25.0,16.9,350,1016.0,0.0,34,0,25.5,10.0,1.0,29.5,1,0
D1642,64,19.0,6.1,210,1016.0,0.0,94,0,19.0,5.0,1.0,15.5,1,0
D1654,64,19.0,3.6,10,1016.0,0.0,94,0,19.0,5.0,1.0,13.3,1,0
D1672,65,20.0,13.0,230,1018.0,0.0,94,75,20.0,10.0,1.0,14.4,2,6
D1681,65,31.0,20.2,20,1012.0,0.0,29,25,32.0,8.0,7.0,31.7,2,6
D1705,66,5.5,22.3,122,1024.0,0.0,34,0,1.4,10.0,1.0,29.9,1,0
D1706,66,12.0,15.1,100,1026.0,0.0,15,0,11.3,10.0,1.0,17.3,1,0
D1709,66,21.0,6.8,190,1025.0,0.0,4,0,21.0,10.0,1.0,29.5,1,0
D1725,67,21.0,3.6,107,1014.0,0.0,88,50,21.0,8.0,1.0,7.6,5,6
D1726,67,19.0,3.6,83,1015.0,0.0,94,75,19.0,7.0,1.0,5.4,5,8
D1735,67,22.0,3.6,119,1015.0,0.1,88,50,24.6,2.0,1.0,4.7,4,3
D1738,67,21.0,6.1,80,1015.0,0.0,88,25,21.0,8.0,1.0,6.0,4,6
D1751,68,14.0,37.1,360,1023.0,0.1,88,100,11.6,10.0,3.0,45.4,1,1
D1755,68,15.0,25.9,360,1028.0,0.0,72,100,13.4,10.0,4.0,27.4,1,1
D1761,68,13.0,41.0,360,1019.0,0.0,67,100,9.7,10.0,4.0,53.3,1,1
D1768,68,12.0,9.0,170,1017.0,2.49,100,100,9.6,10.0,3.0,34.1,1,2
D1769,69,25.0,3.6,10,1010.0,0.0,100,25,27.8,10.0,1.0,3.2,2,6
D1774,69,28.6,15.1,50,1009.0,0.1,70,50,32.1,9.0,6.0,33.8,1,3
D1775,69,29.5,6.8,350,1008.0,0.0,64,50,32.8,10.0,7.0,30.6,1,8
D1778,69,33.0,15.1,90,1008.0,0.1,53,50,43.0,10.0,6.0,31.0,1,6
D1791,69,31.0,29.9,140,1009.0,0.04,63,50,33.1,10.0,7.0,27.7,1,6
D1793,69,27.0,11.2,130,1008.0,0.0,84,25,27.6,10.0,8.0,31.8,1,2
D1804,70,32.0,6.1,240,1013.0,0.0,59,0,35.6,9.0,1.0,29.5,2,0
D1810,70,35.0,11.2,220,1010.0,0.0,39,50,37.1,10.0,9.0,12.6,1,3
D1813,70,25.0,15.1,200,1012.0,0.0,83,25,25.8,9.0,1.0,25.2,1,8
D1816,70,23.0,37.1,140,1014.0,0.0,100,50,24.7,8.0,1.0,14.6,5,3
D1826,71,21.7,8.3,79,1013.0,0.6,91,60,21.7,10.0,5.0,13.3,2,7
D1830,71,21.7,4.7,85,1015.0,0.0,80,0,21.7,10.0,6.0,6.5,4,0
D1832,71,21.0,4.7,121,1011.0,0.0,94,77,21.0,2.0,5.0,7.2,4,4
D1839,71,20.0,5.8,83,1011.0,1.4,97,100,20.0,10.0,5.0,9.0,1,7
D1842,71,18.3,8.3,130,1014.0,0.01,82,80,18.3,10.0,4.0,14.7,1,2
D1856,55,19.0,3.6,180,1019.0,0.1,68,25,19.0,10.0,1.0,2.2,1,6
D1866,55,18.0,4.0,130,1020.0,0.0,77,0,18.0,10.0,1.0,4.8,2,0
D1876,72,12.0,15.1,320,1019.0,0.0,67,100,11.4,10.0,1.0,15.8,1,1
D1877,72,14.0,59.0,200,1016.0,0.0,94,75,14.2,10.0,1.0,9.4,1,2
D1886,72,12.0,24.1,250,1007.0,0.0,77,75,10.8,10.0,1.0,15.5,2,2
D1887,72,10.0,24.1,320,1019.0,0.0,66,75,9.2,10.0,1.0,15.1,1,6
D1913,73,30.0,9.0,60,1001.0,0.0,84,0,34.2,10.0,1.0,15.8,2,0
D1915,73,30.0,6.1,70,1001.0,0.0,84,0,35.6,10.0,1.0,13.0,2,0
D1921,73,30.0,4.0,90,1003.0,0.0,70,0,32.9,10.0,1.0,17.4,3,0
D1931,74,27.4,9.7,72,1004.0,0.0,53,18,28.2,10.0,1.0,16.9,4,0
D1942,74,25.6,9.4,77,1005.0,0.4,68,78,27.2,9.0,1.0,16.2,4,2
D1944,74,24.4,7.6,83,1004.0,0.06,76,89,26.3,10.0,1.0,12.3,4,2
D1946,74,24.7,6.5,83,1008.0,0.53,74,83,26.4,9.0,1.0,10.5,5,2
D1947,74,24.0,10.8,49,1007.0,0.97,75,70,25.8,9.0,1.0,21.8,4,2
D1950,75,27.0,20.2,240,1002.0,0.7,89,100,30.1,10.0,6.0,38.5,1,2
D1952,75,25.0,3.6,231,1006.0,1.6,100,100,27.5,6.0,6.0,57.6,1,2
D1954,75,27.0,13.0,240,1004.0,1.1,94,100,31.1,9.0,6.0,52.6,1,2
D1956,75,25.0,22.0,250,1006.0,0.6,100,100,27.4,6.0,6.0,41.0,1,2
D1957,75,28.0,3.6,234,1008.0,0.2,84,100,32.7,10.0,6.0,20.9,1,2
D1966,75,28.0,3.6,215,1010.0,0.0,84,50,33.0,10.0,1.0,17.3,1,6
D1981,76,13.0,3.6,10,1021.0,0.0,94,0,12.7,10.0,1.0,12.2,1,0
D2025,77,32.0,11.2,340,1004.0,0.0,67,0,37.4,10.0,1.0,24.5,3,0
D2029,78,22.0,6.8,60,1004.0,0.0,65,25,24.5,10.0,1.0,5.4,1,6
D2032,78,19.0,4.0,30,1019.0,0.0,68,0,19.0,10.0,1.0,17.3,1,0
D2040,78,19.0,3.6,39,1020.0,0.0,49,0,19.0,10.0,1.0,26.3,1,0
D2048,78,17.0,6.8,70,1023.0,0.0,72,0,17.0,10.0,1.0,16.8,1,0
D2054,79,16.0,15.1,150,1013.0,0.0,68,75,16.0,10.0,3.0,14.4,1,6
D2067,79,10.0,6.8,170,1020.0,0.0,94,0,9.6,4.4,1.0,9.7,1,4
D2070,79,19.0,19.1,200,1019.0,0.0,52,25,19.0,10.0,5.0,18.0,1,6
D2072,79,13.0,3.6,347,1023.0,0.0,82,0,12.5,10.0,1.0,11.5,1,0
D2075,79,10.0,6.8,110,1021.0,0.0,94,0,9.4,10.0,1.0,11.6,1,4
D2084,80,18.0,28.1,320,1021.0,0.0,94,75,18.0,10.0,1.0,9.0,2,3
D2093,80,18.0,3.6,10,1022.0,1.8,100,75,18.0,9.0,1.0,14.0,1,2
D2105,80,19.0,6.1,280,1019.0,0.0,78,50,19.0,10.0,1.0,10.6,3,6
D2115,81,29.0,13.0,30,1014.0,0.1,84,25,33.6,10.0,1.0,30.2,1,6
D2118,81,30.0,6.8,240,1011.0,0.0,84,25,34.4,10.0,7.0,5.8,1,2
D2126,81,29.0,19.1,30,1012.0,0.03,75,25,33.5,10.0,6.0,23.8,1,6
D2137,82,32.0,25.9,30,1013.0,0.1,67,50,42.8,10.0,6.0,45.7,1,6
D2138,82,31.0,13.0,230,1014.0,0.0,66,75,39.7,10.0,6.0,46.8,1,6
D2142,82,29.0,3.6,108,1013.0,0.3,79,75,34.3,10.0,6.0,32.4,1,6
D2144,82,30.0,3.6,107,1010.0,0.0,75,50,36.0,10.0,7.0,20.9,1,6
D2150,82,29.0,16.9,50,1013.0,0.0,84,75,34.8,10.0,7.0,42.5,1,6
D2161,83,19.0,4.0,210,1016.0,0.1,78,0,19.0,10.0,1.0,18.4,1,0
D2176,83,19.0,4.0,220,1018.0,0.0,94,0,19.0,10.0,1.0,10.8,1,0
D2177,83,20.0,6.1,280,1018.0,0.0,88,75,20.0,10.0,1.0,12.2,1,6
D2178,83,21.0,3.6,212,1018.0,0.0,83,50,21.0,10.0,1.0,7.0,1,6
D2179,83,23.0,6.8,260,1013.0,0.0,57,0,25.0,10.0,1.0,28.0,2,0
D2186,84,31.0,6.1,30,1010.0,0.0,22,0,30.2,10.0,1.0,20.2,3,0
D2198,84,36.0,6.8,200,1007.0,0.0,11,0,34.4,10.0,1.0,6.1,3,0
D2202,84,30.0,3.6,10,1011.0,0.0,24,0,28.0,7.0,1.0,18.7,4,0
D2203,84,31.0,6.8,120,1010.0,0.0,14,0,28.8,10.0,1.0,19.8,3,0
D2211,85,27.8,27.7,195,1011.0,0.2,80,54,31.7,10.0,1.0,38.9,1,7
D2218,85,27.0,3.6,10,1011.0,0.2,94,25,30.8,10.0,1.0,16.2,1,3
D2220,85,24.0,29.9,140,1015.0,0.3,100,75,25.9,3.0,1.0,24.5,1,8
D2224,85,29.0,3.6,10,1010.0,0.0,84,25,34.1,10.0,1.0,11.5,2,3
D2238,86,16.0,11.2,230,1010.0,0.4,100,0,16.0,10.0,1.0,15.8,1,0
D2242,86,15.0,11.2,320,1021.0,0.0,94,0,14.8,10.0,1.0,14.4,1,0
D2263,87,23.4,13.3,259,1014.0,19.6,96,100,25.8,5.0,1.0,20.9,1,5
D2269,87,25.0,19.1,230,1012.0,1.2,89,75,27.9,6.0,1.0,47.2,1,5
D2270,87,24.7,11.9,172,1015.0,0.1,86,55,27.1,10.0,1.0,19.4,1,2
D2272,87,25.3,12.2,288,1015.0,0.0,84,65,27.7,10.0,1.0,19.8,1,1
D2278,87,28.0,13.0,220,1010.0,0.0,70,75,31.1,10.0,7.0,16.2,1,6
D2280,87,25.4,12.6,217,1014.0,0.0,87,67,28.1,10.0,1.0,19.8,1,1
D2282,87,25.8,11.5,235,1014.0,0.35,85,73,28.6,9.0,1.0,18.1,1,2
D2286,87,25.8,9.7,274,1013.0,3.07,88,57,29.0,7.0,1.0,16.6,1,7
D2290,88,28.0,6.8,70,1010.0,0.0,79,75,31.9,10.0,1.0,22.7,1,6
D2292,88,25.0,3.6,167,1009.0,0.0,100,75,26.9,9.0,1.0,18.4,2,6
D2302,88,27.0,6.8,10,1010.0,0.0,89,75,30.1,8.0,7.0,20.2,2,2
D2306,88,28.0,6.8,70,1010.0,0.0,84,75,32.0,10.0,1.0,27.4,1,6
D2315,89,14.0,3.6,11,1006.0,0.0,94,100,14.7,10.0,1.0,2.9,1,1
D2330,89,19.0,19.1,110,1019.0,0.0,88,75,19.0,10.0,6.0,9.7,1,2
D2333,89,16.0,3.6,260,1019.0,0.0,94,25,16.0,10.0,1.0,6.8,1,6
D2335,89,18.0,3.6,295,1013.0,0.0,100,75,18.0,7.0,1.0,6.9,1,7
D2343,90,27.0,4.0,123,1014.0,0.9,80,86,30.3,9.0,6.0,7.2,1,2
D2345,90,29.2,15.1,96,1013.0,0.0,67,4,32.7,10.0,7.0,17.3,1,0
D2359,90,27.0,3.6,121,1013.0,0.4,77,72,29.9,9.0,6.0,4.0,1,2
D2376,91,14.0,6.8,160,1025.0,0.0,23,0,14.0,10.0,1.0,13.7,5,0
D2396,92,23.0,4.0,340,1013.0,0.0,83,0,25.0,10.0,6.0,5.4,4,0
D2407,92,23.0,4.0,20,1012.0,0.0,94,75,25.2,9.0,6.0,7.6,3,2
D2409,92,20.0,3.6,170,1015.0,1.6,100,100,20.0,10.0,4.0,10.8,1,2
D2410,92,22.0,6.1,50,1013.0,0.4,100,75,24.6,10.0,5.0,5.4,1,6
D2418,93,20.0,6.1,230,1018.0,0.0,49,0,20.0,10.0,6.0,1.4,1,0
D2423,93,16.0,6.1,10,1017.0,2.3,88,75,16.0,8.0,1.0,31.0,1,6
D2424,93,17.0,3.6,10,1015.0,0.4,94,100,17.0,9.0,1.0,27.0,1,1
D2429,93,23.0,6.1,30,1017.0,0.0,69,75,24.7,10.0,1.0,24.8,1,8
D2430,93,19.0,9.0,50,1019.0,0.2,88,75,19.0,5.0,1.0,11.9,1,4
D2438,93,15.0,11.2,140,1017.0,0.0,94,25,13.8,10.0,1.0,29.2,1,6
D2445,94,26.0,15.1,240,1008.0,0.0,94,50,29.2,9.0,1.0,30.2,1,5
D2448,94,25.0,11.2,170,1008.0,0.0,94,75,27.9,10.0,1.0,32.8,1,6
D2474,95,32.0,20.5,221,1007.0,0.0,40,50,32.9,9.0,1.0,26.6,2,3
D2477,95,29.2,17.3,177,1011.0,0.0,52,4,30.5,10.0,1.0,23.0,2,0
D2479,95,35.6,18.4,197,1004.0,0.0,29,28,36.1,10.0,1.0,28.4,2,6
D2489,95,35.5,10.8,277,1006.0,0.0,15,17,33.8,10.0,1.0,18.5,2,0
D2490,95,33.2,18.0,205,1007.0,0.0,33,8,33.4,10.0,1.0,27.5,2,0
D2494,95,35.6,20.5,175,1006.0,0.0,29,18,36.0,10.0,1.0,28.1,3,0
D2496,96,14.0,3.6,10,1007.0,0.4,94,75,14.7,10.0,1.0,1.8,1,2
D2502,96,17.0,13.0,230,1017.0,0.0,83,0,17.0,10.0,1.0,25.2,1,0
D2503,96,15.0,13.0,60,1021.0,0.0,77,100,15.0,10.0,1.0,13.7,1,1
D2504,96,10.0,3.6,10,1029.0,0.0,100,0,8.9,10.0,1.0,18.0,1,0
D2506,96,15.0,3.6,205,1020.0,0.0,100,25,15.3,8.0,1.0,11.2,1,6
D2509,96,15.0,11.2,150,1010.0,0.0,100,100,14.2,10.0,1.0,27.7,1,1
D2516,96,16.0,19.1,120,1006.0,0.0,88,100,16.0,10.0,1.0,36.7,1,1
D2520,96,16.0,11.2,210,1000.0,0.01,94,75,16.0,10.0,1.0,14.1,1,5
D2532,97,22.0,6.1,100,1012.0,0.0,29,0,22.3,10.0,1.0,11.2,2,0
D2555,98,17.0,4.0,10,1016.0,0.0,63,0,17.0,10.0,1.0,4.7,1,0
D2557,98,17.0,3.6,41,1014.0,0.0,48,0,17.0,10.0,1.0,9.0,1,0
D2566,98,18.0,6.8,110,1014.0,0.0,64,0,18.0,7.0,1.0,2.9,2,0
D2600,100,31.0,6.8,210,1008.0,0.0,71,25,34.9,10.0,8.0,11.2,2,6
D2616,100,27.0,15.1,240,1006.0,0.0,84,25,31.1,10.0,1.0,10.1,2,6
D2630,101,21.0,3.6,359,1016.0,1.6,73,75,21.0,10.0,1.0,9.0,1,8
D2657,102,21.0,3.6,10,1013.0,0.0,40,0,21.0,10.0,1.0,11.5,2,0
D2673,102,21.0,11.2,280,1023.0,0.0,53,75,21.0,10.0,1.0,16.1,1,6
D2674,102,17.0,6.8,290,1021.0,0.0,45,0,17.0,10.0,1.0,15.6,1,0
D2680,103,33.0,15.1,100,1012.0,0.1,80,50,45.3,10.0,1.0,29.9,1,6
D2691,103,27.0,3.6,10,1012.0,0.0,94,100,30.0,10.0,6.0,33.1,1,1
D2693,103,31.0,6.8,80,1011.0,0.0,84,75,39.7,10.0,7.0,30.2,1,6
D2698,103,31.0,6.8,90,1010.0,0.04,84,75,38.2,10.0,6.0,36.4,1,1
D2702,104,29.4,12.6,161,1005.0,0.0,41,2,29.5,10.0,7.0,14.4,1,0
D2716,105,34.0,11.2,330,1002.0,0.0,63,25,43.7,10.0,1.0,20.2,3,6
D2719,105,33.0,6.1,70,1002.0,0.0,75,25,42.8,10.0,1.0,14.4,3,6
D2724,105,33.0,6.1,230,1000.0,0.0,80,0,42.1,10.0,1.0,9.4,3,0
D2728,105,35.0,15.1,340,999.0,0.0,71,0,51.5,2.0,8.0,24.5,3,4
D2729,105,32.0,6.1,40,1000.0,0.0,84,0,43.0,3.0,1.0,19.1,4,4
D2741,106,15.0,6.8,130,1009.0,0.0,94,100,15.8,10.0,1.0,3.6,1,2
D2744,106,17.0,6.8,70,1026.0,0.0,88,0,17.0,8.0,1.0,11.9,1,4
D2748,106,21.0,3.6,260,1016.0,0.0,73,25,21.0,10.0,1.0,8.3,2,6
D2749,106,21.0,3.6,270,1016.0,0.0,78,100,21.0,10.0,1.0,6.8,3,1
D2751,106,20.0,9.0,210,1013.0,0.0,83,75,20.0,10.0,1.0,13.7,2,4
D2760,106,18.0,29.9,240,1004.0,0.01,77,100,18.0,10.0,1.0,35.0,1,1
D2761,106,14.0,11.2,280,995.0,0.74,94,100,13.1,10.0,1.0,18.5,1,1
D2762,106,12.0,4.0,140,996.0,0.32,94,100,11.9,10.0,1.0,8.3,1,1
D2766,107,15.0,6.1,10,1012.0,0.0,72,0,14.6,10.0,1.0,22.0,1,0
D2773,107,12.0,20.2,100,1022.0,0.0,67,100,9.3,10.0,1.0,44.3,1,1
D2780,107,13.0,11.2,310,1021.0,0.0,44,25,12.1,10.0,4.0,14.0,2,6
D2806,108,25.0,11.2,300,1014.0,0.0,21,0,23.9,10.0,1.0,26.6,1,0
D2814,108,17.0,11.2,360,1020.0,0.0,42,0,17.0,10.0,1.0,18.8,1,0
D2816,109,22.0,19.1,100,1013.0,2.6,100,100,24.5,10.0,1.0,64.1,1,1
D2817,109,24.0,20.2,90,1011.0,3.0,89,75,26.2,1.0,5.0,60.1,1,5
D2818,109,28.0,9.0,10,1011.0,1.3,79,75,33.7,10.0,6.0,33.1,1,6
D2823,109,27.0,29.9,110,1017.0,0.1,79,75,31.2,10.0,5.0,46.1,1,6
D2831,109,25.0,25.9,120,1016.0,0.0,79,100,27.0,10.0,5.0,45.4,1,1
D2832,109,22.5,9.0,62,1012.0,3.6,94,100,24.9,7.0,1.0,12.6,1,5
D2833,109,24.0,9.0,80,1012.0,0.0,100,100,26.0,10.0,7.0,25.9,1,1
D2839,109,27.0,19.1,90,1014.0,0.01,70,25,29.8,10.0,6.0,45.6,1,6
D2864,110,21.4,3.6,178,1012.0,0.0,89,75,21.4,10.0,6.0,6.6,1,2
D2874,111,16.9,16.6,68,1018.0,0.0,44,2,16.9,10.0,1.0,27.0,1,0
D2887,111,19.5,5.4,27,1014.0,0.0,34,0,19.4,10.0,1.0,11.2,2,0
D2889,111,17.1,13.3,61,1017.0,0.0,57,3,17.1,10.0,1.0,22.2,1,0
